Rank;Prev;Diff;Rider;Team;Points;Date_of_birth;Nationality;Weight;Height;PCS_points;One_dav_races;GC;Time_trial;Sprint;Cimber
1;1;;Pogačar Tadej;UAE Team Emirates;3309;21st September 1998;Slovenia;66;1.76;3309;4490;5194;1837;226;7346
2;2;;Evenepoel Remco;Soudal - Quick Step;2843;25th January 2000;Belgium;61;1.71;2843;2254;3184;2759;120;3387
3;3;;Vingegaard Jonas;Jumbo-Visma;2715;10th December 1996;Denmark;60;1.75;2715;320;3681;1352;129;3984
4;4;;Roglič Primož;Jumbo-Visma;2526;29th October 1989;Slovenia;65;1.77;2526;1862;7084;4896;163;8408
5;5;;Philipsen Jasper;Alpecin - Deceuninck;2152;2nd March 1998;Belgium;75;1.76;2152;3278;349;152;4468;1386
6;6;;van Aert Wout;Jumbo-Visma;2060;15th September 1994;Belgium;78;1.90;2060;6810;1091;2586;1882;4133
7;7;;Pedersen Mads;Trek - Segafredo;2009;18th December 1995;Denmark;70;1.80;2009;3101;1038;1457;2358;1860
8;8;;Yates Adam;UAE Team Emirates;1947;7th August 1992;Great Britain;58;1.73;1947;2261;5882;1018;130;7292
9;9;;Hirschi Marc;UAE Team Emirates;1817;24th August 1998;Switzerland;61;1.74;1817;3080;1101;278;62;2574
10;10;;De Lie Arnaud;Lotto Dstny;1723;16th March 2002;Belgium;78;1.82;1723;2785;90;1;1003;708
11;11;;van der Poel Mathieu;Alpecin - Deceuninck;1719;19th January 1995;Netherlands;75;1.84;1719;5602;984;906;1424;2474
12;12;;Skjelmose Mattias;Trek - Segafredo;1595;26th September 2000;Denmark;65;1.80;1595;858;1425;652;118;1776
13;13;;Almeida João;UAE Team Emirates;1478;5th August 1998;Portugal;63;1.78;1478;405;3224;1884;152;3356
14;14;;Kooij Olav;Jumbo-Visma;1471;17th October 2001;Netherlands;72;1.84;1471;948;550;72;2108;328
15;15;;Ganna Filippo;INEOS Grenadiers;1460;25th July 1996;Italy;83;1.93;1460;565;693;4568;326;594
16;16;;Yates Simon;Team Jayco AlUla;1431;7th August 1992;Great Britain;58;1.72;1431;1080;4835;1133;193;6378
17;17;;Bilbao Pello;Bahrain - Victorious;1344;25th February 1990;Spain;60;1.74;1344;1207;3937;989;466;5341
18;18;;Landa Mikel;Bahrain - Victorious;1297;13th December 1989;Spain;61;1.72;1297;965;5425;204;102;6620
19;19;;Mohorič Matej;Bahrain - Victorious;1275;19th October 1994;Slovenia;72;1.86;1275;2615;2033;304;688;2943
