nom,circuit,date,heure_depart,vitesse_moyenne,categorie,distance,categorie2,categorie3,score_denivele,denivele,ville_depart,ville_arrivee,rang_course,score_qualite_ligne_depart,maniere_gagner,temperature,premier,deuxieme,troisieme,quatrieme,cinquieme,sixieme,septieme,huitieme,neuvieme,dixieme
Santos Tour Down Under,2.UWT,22 January 2023,11:47,41.856,ME - Men Elite,112.5,2.WT.Stage,UCI.WR.C1.Stage,110.0,2224.0,Unley,Mount Lofty,38.0,482.0,Sprint à deux,,YATES Simon,VINE Jay,O'CONNOR Ben,TIBERI Antonio,BYSTRØM Sven Erik,HINDLEY Jai,BILBAO Pello,ALEOTTI Giovanni,SHEFFIELD Magnus,SCHMID Mauro
Santos Tour Down Under,2.UWT,17 January 2023,18:00,52.243,ME - Men Elite,5.5,2.WT.Stage,UCI.WR.C1.Stage,0.0,39.0,Adelaide ,Adelaide ,38.0,482.0,Time Trial,,BETTIOL Alberto,SHEFFIELD Magnus,JOHANSEN Julius,GROVES Kaden,GAZE Samuel,PAGE Hugo,MAYRHOFER Marius,STEIMLE Jannik,VINE Jay,MATTHEWS Michael
Santos Tour Down Under,2.UWT,18 January 2023,11:33,41.336,ME - Men Elite,149.9,2.WT.Stage,UCI.WR.C1.Stage,44.0,1715.0,Tanunda,Tanunda,38.0,482.0,Sprint of large group,,BAUHAUS Phil,EWAN Caleb,MATTHEWS Michael,COVI Alessandro,PENHOËT Paul,LIEPIŅŠ Emīls,PAGE Hugo,HOFSTETTER Hugo,JONES Taj,THIJSSEN Gerben
Santos Tour Down Under,2.UWT,19 January 2023,11:44,38.593,ME - Men Elite,154.8,2.WT.Stage,UCI.WR.C1.Stage,72.0,1945.0,Brighton,Victor Harbor,38.0,482.0,0.5 km solo,,DENNIS Rohan,VINE Jay,SCHMID Mauro,YATES Simon,HINDLEY Jai,EWAN Caleb,LIEPIŅŠ Emīls,STRONG Corbin,GROVES Kaden,PENHOËT Paul
Santos Tour Down Under,2.UWT,20 January 2023,11:40,41.673,ME - Men Elite,116.8,2.WT.Stage,UCI.WR.C1.Stage,107.0,1831.0,Norwood,Campbelltown,38.0,482.0,Sprint of small group,,BILBAO Pello,YATES Simon,VINE Jay,MATTHEWS Michael,BYSTRØM Sven Erik,TESFATSION Natnael,TIBERI Antonio,VADER Milan,O'CONNOR Ben,HAYTER Ethan
Santos Tour Down Under,2.UWT,21 January 2023,11:32,46.015,ME - Men Elite,133.2,2.WT.Stage,UCI.WR.C1.Stage,21.0,1103.0,Port Willunga,Willunga Township,38.0,482.0,Sprint of large group,,COQUARD Bryan,BETTIOL Alberto,PAGE Hugo,PENHOËT Paul,STRONG Corbin,MATTHEWS Michael,GODON Dorian,MAYRHOFER Marius,HEIDUK Kim,EWAN Caleb
Santos Tour Down Under,2.UWT,22 January 2023,11:47,41.856,ME - Men Elite,112.5,2.WT.Stage,UCI.WR.C1.Stage,110.0,2224.0,Unley,Mount Lofty,38.0,482.0,Sprint à deux,,YATES Simon,VINE Jay,O'CONNOR Ben,TIBERI Antonio,BYSTRØM Sven Erik,HINDLEY Jai,BILBAO Pello,ALEOTTI Giovanni,SHEFFIELD Magnus,SCHMID Mauro
UAE Tour,2.UWT,26 February 2023,12:45,43.777,ME - Men Elite,153.0,2.WT.Stage,UCI.WR.C3.Stage,144.0,1378.0,Hazza Bin Zayed Stadium,Jebel Hafeet,35.0,530.0,3 km solo,,YATES Adam,EVENEPOEL Remco,BOUCHARD Geoffrey,KUSS Sepp,BILBAO Pello,PLAPP Luke,POELS Wout,TIBERI Antonio,ZWIEHOFF Ben,STORER Michael
UAE Tour,2.UWT,20 February 2023,13:00,45.854,ME - Men Elite,151.0,2.WT.Stage,UCI.WR.C3.Stage,2.0,518.0,Al Dhafra Castle,Al Mirfa,35.0,530.0,Sprint of small group,21.0,MERLIER Tim,EWAN Caleb,CAVENDISH Mark,KOOIJ Olav,ARNDT Nikias,BAUHAUS Phil,PLAPP Luke,EVENEPOEL Remco,BILBAO Pello,BOL Cees
UAE Tour,2.UWT,21 February 2023,13:35,56.77,ME - Men Elite,17.3,2.WT.TTT,UCI.WR.C3.Stage,0.0,5.0,Khalifa Port,Khalifa Port,35.0,530.0,,23.0,EVENEPOEL Remco,ČERNÝ Josef,SCHMID Mauro,VERVAEKE Louis,VAN LERBERGHE Bert,MERLIER Tim,SERRY Pieter,AMADOR Andrey,CAMARGO Diego Andrés,DE BOD Stefan
UAE Tour,2.UWT,22 February 2023,11:45,38.092,ME - Men Elite,185.0,2.WT.Stage,UCI.WR.C3.Stage,190.0,2741.0,Umbrella Beach Al Fujairah,Jebel Jais,35.0,530.0,10.2 km solo,24.0,RUBIO Einer,EVENEPOEL Remco,YATES Adam,LUTSENKO Alexey,PLAPP Luke,VANHOUCKE Harm,GLOAG Thomas,LEKNESSUND Andreas,KUSS Sepp,ZWIEHOFF Ben
UAE Tour,2.UWT,23 February 2023,12:30,45.388,ME - Men Elite,174.0,2.WT.Stage,UCI.WR.C3.Stage,0.0,304.0,Al Shindagha,Dubai Harbour,35.0,530.0,Sprint of large group,29.0,MOLANO Juan Sebastián,KOOIJ Olav,WELSFORD Sam,DE KLEIJN Arvid,GROENEWEGEN Dylan,VAN POPPEL Danny,VAN DEN BERG Marijn,BENNETT Sam,MERLIER Tim,ABERASTURI Jon
UAE Tour,2.UWT,24 February 2023,12:35,43.017,ME - Men Elite,170.0,2.WT.Stage,UCI.WR.C3.Stage,3.0,522.0,Al Marjan Island,Umm al Quwain,35.0,530.0,Sprint of large group,29.0,GROENEWEGEN Dylan,GAVIRIA Fernando,BENNETT Sam,LIEPIŅŠ Emīls,MERLIER Tim,WELSFORD Sam,MOLANO Juan Sebastián,CAVENDISH Mark,KOOIJ Olav,DÉMARE Arnaud
UAE Tour,2.UWT,25 February 2023,12:40,45.027,ME - Men Elite,166.0,2.WT.Stage,UCI.WR.C3.Stage,0.0,146.0,Warner Bros. World Abu Dhabi,Abu Dhabi Breakwater,35.0,530.0,Sprint of large group,32.0,MERLIER Tim,BENNETT Sam,GROENEWEGEN Dylan,KOOIJ Olav,DE KLEIJN Arvid,WELSFORD Sam,THIJSSEN Gerben,LIEPIŅŠ Emīls,BAUHAUS Phil,EINHORN Itamar
UAE Tour,2.UWT,26 February 2023,12:45,43.777,ME - Men Elite,153.0,2.WT.Stage,UCI.WR.C3.Stage,144.0,1378.0,Hazza Bin Zayed Stadium,Jebel Hafeet,35.0,530.0,3 km solo,32.0,YATES Adam,EVENEPOEL Remco,BOUCHARD Geoffrey,KUSS Sepp,BILBAO Pello,PLAPP Luke,POELS Wout,TIBERI Antonio,ZWIEHOFF Ben,STORER Michael
Paris - Nice,2.UWT,12 March 2023,11:55,41.11,ME - Men Elite,117.2,2.WT.Stage,UCI.WR.C1.Stage,176.0,2465.0,Nice,Nice,6.0,981.0,18.8 km solo,,POGAČAR Tadej,VINGEGAARD Jonas,GAUDU David,YATES Simon,JORGENSON Matteo,POWLESS Neilson,SIVAKOV Pavel,BARDET Romain,HAIG Jack,MÄDER Gino
Paris - Nice,2.UWT,05 March 2023,13:00,44.025,ME - Men Elite,169.4,2.WT.Stage,UCI.WR.C1.Stage,47.0,1405.0,La Verrière,La Verrière,6.0,981.0,Sprint of large group,6.0,MERLIER Tim,BENNETT Sam,PEDERSEN Mads,KOOIJ Olav,DE LIE Arnaud,MATTHEWS Michael,COQUARD Bryan,GARCÍA CORTINA Iván,GROVES Kaden,DÉMARE Arnaud
Paris - Nice,2.UWT,06 March 2023,13:00,47.006,ME - Men Elite,163.7,2.WT.Stage,UCI.WR.C1.Stage,8.0,815.0,Bazainville,Fontainebleau,6.0,981.0,Sprint of large group,7.0,PEDERSEN Mads,KOOIJ Olav,CORT Magnus,MCLAY Daniel,TAMINIAUX Lionel,MATTHEWS Michael,VAN DEN BERG Marijn,BOL Cees,RENARD Alexis,DÉMARE Arnaud
